timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3.38,2.09,3.63,8.47,1.45,2.78,4.53
3.94,2.75,2.98,6.64,1.05,0.02,0.55
4.50,3.04,2.02,9.97,0.12,0.24,0.63
5.07,4.48,-0.05,8.91,-0.17,0.60,-0.96
5.63,3.72,-0.76,9.66,-0.11,0.34,1.38
6.19,0.17,5.03,9.16,0.44,0.51,1.85
6.76,1.73,-2.75,9.11,0.07,0.08,-0.03
7.33,-0.47,-2.08,8.63,-0.81,0.49,-3.74
7.89,-1.47,1.37,9.78,-0.41,-0.67,1.23
8.45,4.82,-5.31,6.50,-0.12,-0.35,2.41
9.02,-0.83,-1.43,9.99,0.27,0.08,-0.20
9.58,-0.69,-2.10,10.09,-0.25,-0.20,-3.38
10.14,-0.78,-0.83,9.94,0.06,-0.46,-2.31
10.71,-4.58,-0.28,9.45,1.12,0.11,3.31
11.27,-0.58,-3.75,8.15,-0.09,0.30,2.84
11.83,0.74,-1.71,8.82,0.21,-0.05,-0.08
12.39,-7.46,4.53,-5.84,1.87,3.75,-0.43
12.96,-3.17,0.04,-8.60,-1.49,-1.59,0.84
13.53,-7.26,1.81,5.85,-2.76,-3.87,-0.05
14.09,0.57,-2.04,9.59,-0.66,-0.95,-0.06
14.65,7.85,-6.03,-1.41,-0.03,-0.41,0.20
15.22,6.88,-6.09,3.32,2.54,3.54,0.08
15.78,-1.28,1.31,9.88,0.22,0.01,-0.06
16.34,-6.35,6.98,1.65,2.05,1.40,-0.15
16.91,-6.50,8.61,-8.04,-4.98,-3.54,0.28
17.48,0.25,-5.31,8.12,0.66,0.47,-3.07
18.04,-3.92,-0.65,13.76,-0.36,0.10,-2.45
18.60,-6.20,0.47,13.80,0.78,0.25,3.88
19.17,-2.76,-5.17,9.37,-0.45,0.04,3.27
19.73,0.71,-2.00,9.22,-0.60,-0.14,-1.97
20.29,-4.14,1.98,10.86,0.52,-0.41,2.41
20.85,-0.06,-3.14,7.58,-0.29,-0.73,2.91
21.42,-1.22,-3.73,9.94,0.04,-0.58,-0.36
21.99,0.26,-1.63,9.58,0.04,0.01,-2.24
22.55,-4.15,2.86,12.54,0.36,0.10,0.35
23.11,1.16,-3.06,8.08,-0.35,-0.79,2.40
23.67,0.60,-3.35,11.76,0.20,0.30,0.63
24.24,-2.28,-2.82,10.55,-0.13,0.52,-3.80
24.80,-0.00,-3.24,9.17,-0.62,-0.11,-2.87
25.37,-2.43,-1.10,9.97,0.38,0.11,2.82
25.93,0.41,-4.18,8.24,-0.47,0.18,1.81
26.50,-3.79,6.78,7.78,2.48,-1.09,-2.32
27.06,-3.01,8.87,10.24,0.56,0.24,0.84
27.62,4.15,6.69,1.57,-2.07,-0.36,0.04
28.18,-1.55,-7.80,10.01,-1.90,1.86,1.00
28.75,-9.73,-8.11,8.37,0.26,-2.19,-0.72
29.32,3.29,3.36,6.70,1.58,-0.69,-0.12
29.88,2.73,5.23,2.82,0.08,0.53,1.62
30.45,0.70,8.66,9.97,-1.67,-0.45,-0.83
31.01,-1.30,-1.23,14.63,-1.19,1.13,-0.22
31.57,-5.49,-5.53,5.68,-1.20,1.67,0.32
32.13,-5.83,-8.45,6.72,0.21,-1.64,0.01
32.69,-0.50,-1.00,6.55,0.62,-0.52,-0.96
33.27,1.63,-2.97,8.93,-0.08,-0.20,1.76
33.83,3.59,-5.78,8.40,-0.07,-0.45,0.24
34.39,-0.67,-0.71,10.16,0.25,0.18,-2.16
34.96,0.55,-1.51,10.33,-1.07,-0.65,-2.38
35.52,-0.28,-0.31,9.71,0.14,0.10,2.14
36.08,2.41,-3.15,9.53,0.35,-0.33,1.72
36.64,-0.67,0.15,9.13,0.55,0.40,1.93
37.21,0.33,-1.87,10.44,-0.03,-0.23,-0.44
37.77,0.43,-2.29,9.63,-0.96,-0.12,-2.64
38.33,1.22,-0.94,10.20,-0.53,-0.33,-1.40
38.89,0.32,-0.31,7.34,-0.41,1.10,1.49
39.47,-5.75,-7.85,6.85,-1.22,1.40,0.62
40.03,-3.03,-5.13,7.20,1.76,-0.50,-1.46
40.59,1.90,-2.95,8.05,0.83,-0.84,-1.36
41.15,2.64,0.64,9.65,-0.44,-0.08,-0.53
41.72,-1.75,-4.67,9.38,-1.44,0.97,0.40
42.28,-8.14,-7.97,7.44,-0.24,0.51,0.39
42.84,-1.14,-5.43,4.33,-0.37,-0.31,-1.63
43.42,1.31,-5.26,5.69,0.08,0.35,-0.53
43.98,1.29,-4.86,7.75,0.40,-0.04,0.04
44.54,0.01,4.76,5.66,1.11,-0.16,-0.28
45.10,0.54,-2.79,9.61,-0.28,-0.21,-0.27
45.66,1.01,-2.38,7.17,-0.70,-0.36,-0.35
46.23,1.99,-4.96,9.63,1.01,0.10,0.36
46.79,-0.88,-0.73,7.38,-1.20,-0.24,0.18
47.36,1.28,-4.56,8.28,0.09,0.02,-0.03
47.92,0.54,-3.78,7.55,0.42,-0.33,-0.25
48.49,3.08,-11.73,3.34,-0.92,-0.44,-0.83
49.05,2.68,-8.77,3.86,0.72,0.79,0.65
49.61,0.48,-4.86,7.84,0.20,-0.22,0.25
50.18,-0.76,1.89,5.52,0.98,-0.17,0.87
50.74,-0.24,-2.77,8.09,0.18,-0.10,0.84
51.30,2.88,-6.97,7.95,-0.88,-0.48,-0.15
51.87,3.32,-6.19,6.84,0.14,-0.08,0.14
52.43,0.84,-5.26,7.62,0.16,0.16,0.38
53.00,1.17,-7.15,7.85,-0.10,0.15,-0.71
53.57,0.37,-6.20,9.18,0.61,0.53,-0.30
54.13,1.68,-5.12,7.29,0.14,-0.54,0.10
54.69,0.97,-4.45,8.51,0.57,-0.06,0.09
55.26,1.55,-1.19,10.18,-0.69,0.04,-0.53
55.82,-0.19,-2.09,8.73,0.16,0.01,-0.20
56.38,0.29,-1.09,10.56,0.16,-0.07,-0.20
56.94,-0.61,0.00,9.85,-0.06,0.29,0.01
57.51,-0.77,-1.91,9.28,0.51,-0.06,-0.03
58.08,-0.60,-2.10,9.05,-0.36,-0.57,0.29
58.64,-1.12,-5.07,6.70,-1.93,-0.08,-1.09
59.21,-4.63,-7.39,4.66,0.02,-0.05,0.02
59.77,-4.46,-8.25,3.96,-0.02,0.24,-0.35
60.33,-4.29,-7.82,4.35,0.01,-0.04,-0.00
60.89,-4.29,-7.83,4.32,0.01,-0.04,-0.01
61.46,-4.29,-7.84,4.38,-0.02,-0.04,-0.00
62.02,-4.28,-7.52,4.57,0.07,-0.07,0.04
62.58,-4.31,-7.72,4.46,0.01,-0.04,-0.01
63.14,-4.30,-7.70,4.55,0.16,-0.08,0.04
63.72,-4.29,-7.77,4.43,0.01,-0.04,-0.01
64.28,-4.27,-7.77,4.42,0.01,-0.05,-0.00
64.84,-4.20,-7.96,4.35,-0.00,-0.05,-0.03
65.40,-4.37,-7.89,4.41,-0.02,-0.07,-0.11
65.97,-4.58,-7.80,4.27,0.05,0.00,0.00
